Task,Known/Novel,TargetWord,File Order,WAV filename audio - QUIET,WAV filename audio - 5SNR,TargetImage,Image files,,,,,,,,,,,,,,,,,,,
Block 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposure,Known ,Apple,1,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Apple,Apple.png,,,,,,,,,,,,,,,,,,,
Exposure,Known,Rooster,2,2_Day1_Exposure_ROOSTER_Quiet_Final_60dB.wav,2_Day1_Exposure_ROOSTER_Quiet_Final_60dB.wav,Rooster,Rooster.png,,,,,,,,,,,,,,,,,,,
Exposure,Known,Baby,3,3_Day1_Exposure_BABY_Quiet_Final_60dB.wav,3_Day1_Exposure_BABY_SSN_5SNR_Final.wav,Baby,Baby.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Topin,4,4_Day1_Exposure_TOPIN_Quiet_Final_60dB.wav,4_Day1_Exposure_TOPIN_SSN_5SNR_Final.wav,Topin,Topin.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Nedig,5,5_Day1_Exposure_NEDIG_Quiet_Final_60dB.wav,5_Day1_Exposure_NEDIG_SSN_5SNR_Final.wav,Nedig,Nedig.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Kinit,6,6_Day1_Exposure_KINIT_Quiet_Final_60dB.wav,6_Day1_Exposure_KINIT_SSN_5SNR_Final.wav,Kinit,Kinit.png,,,,,,,,,,,,,,,,,,,
Exposure,Novel,Daevl,7,7_Day1_Exposure_DAEVL_Quiet_Final_60dB.wav,7_Day1_Exposure_DAEVL_SSN_5SNR_Final.wav,Daevl,Daevl.png,,,,,,,,,,,,,,,,,,,
Block 2,,,,,,,,,,,,,,,,,,,,,,,,,,
2 dot test ,Known,Apple or Flower,8,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Apple or Flower,Apple.png,,,,,,,,,,,,,,,,,,,
Feedback,Known,Apple,9,No audio file_LIVE INSTRUCTION,No audio file_LIVE INSTRUCTION,Apple,,,,,,,,,,,,,,,,,,,,
2 dot test,Known,Pizza or Rooster,10,10_Day1_2Dot_PIZZA_ROOSTER_Quiet_Final_60dB.wav,10_Day1_2Dot_PIZZA_ROOSTER_Quiet_Final_60dB.wav,Pizza or Rooster,Rooster.png,,,,,,,,,,,,,,,,,,,
Feedback,Known,Rooster,11,11_Day1_Feedback_ROOSTER_Quiet_Final_60dB.wav,11_Day1_Feedback_ROOSTER_Quiet_Final_60dB.wav,Rooster,,,,,,,,,,,,,,,,,,,,
