Task,Known/Novel,TargetWord,File Order,WAV filename audio - Speech-Shaped Noise (SSN) - 5SNR,WAV filename audio - Two Talker Speech - 5SNR,TargetImage,Image files
Block 1,,,,,,,
Free Recall Test,Known,Rooster,1,1_Day2_FreeRecall_ROOSTER_Quiet_Final_60dB,1_Day2_FreeRecall_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Feedback,,,2,2_Day2_Feedback_ROOSTER_Quiet_Final_60dB,2_Day2_Feedback_ROOSTER_Quiet_Final_60dB,,
Free Recall Test,Known,Baby,3,3_Day2_FreeRecall_BABY_SSN_5SNR_Final,3_Day2_FreeRecall_BABY_2Talker_5SNR_Final,Baby,Baby.png
Feedback,,,4,4_Day2_Feedback_BABY_SSN_5SNR_Final,4_Day2_Feedback_BABY_2Talker_5SNR_Final,,
Free Recall Test,Novel,Kinit,5,5_Day2_FreeRecall_KINIT_SSN_5SNR_Final,5_Day2_FreeRecall_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,,6,6_Day2_Feedback_KINIT_SSN_5SNR_Final,6_Day2_Feedback_KINIT_2Talker_5SNR_Final,,
Free Recall Test,Novel,Daevl,7,7_Day2_FreeRecall_DAEVL_SSN_5SNR_Final,7_Day2_FreeRecall_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,,8,8_Day2_Feedback_DAEVL_SSN_5SNR_Final,8_Day2_Feedback_DAEVL_2Talker_5SNR_Final,,
Free Recall Test,Novel,Nedig,9,9_Day2_FreeRecall_NEDIG_SSN_5SNR_Final,9_Day2_FreeRecall_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,,10,10_Day2_Feedback_NEDIG_SSN_5SNR_Final,10_Day2_Feedback_NEDIG_2Talker_5SNR_Final,,
Free Recall Test,Novel,Topin,11,11_Day2_FreeRecall_TOPIN_SSN_5SNR_Final,11_Day2_FreeRecall_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,,12,12_Day2_Feedback_TOPIN_SSN_5SNR_Final,12_Day2_Feedback_TOPIN_2Talker_5SNR_Final,,
Block 2,,,,,,,
2 AFC,Known,Pizza or Rooster,13,13_Day2_2AFC_PIZZA_ROOSTER_Quiet_Final_60dB,13_Day2_2AFC_PIZZA_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Feedback,,Rooster,14,14_Day2_Feedback_ROOSTER_Quiet_Final_60dB,14_Day2_Feedback_ROOSTER_Quiet_Final_60dB,,
2 AFC,Known,Baby or Cheetah,15,15_Day2_2AFC_BABY_CHEETAH_SSN_5SNR_Final,15_Day2_2AFC_BABY_CHEETAH_2Talker_5SNR_Final,Baby,Baby.png
Feedback,,Baby,16,16_Day2_Feedback_BABY_SSN_5SNR_Final,16_Day2_Feedback_BABY_2Talker_5SNR_Final,,
2 AFC,Novel,Kinit or Topin,17,17_Day2_2AFC_KINIT_TOPIN_SSN_5SNR_Final,17_Day2_2Dot_KINIT_TOPIN_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,Kinit,18,18_Day2_Feedback_KINIT_SSN_5SNR_Final,18_Day2_Feedback_KINIT_2Talker_5SNR_Final,,
2 AFC,Novel,Nedig or Daevl,19,19_Day2_2AFC_NEDIG_DAEVL_SSN_5SNR_Final,19_Day2_2Dot_NEDIG_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,Daevl  ,20,20_Day2_Feedback_DAEVL_SSN_5SNR_Final,20_Day2_Feedback_DAEVL_2Talker_5SNR_Final,,
