Task,Known/Novel,TargetWord,File Order,WAV filename audio - Speech-Shaped Noise (SSN) - 5SNR,WAV filename audio - Two Talker Speech - 5SNR,TargetImage,Image files
Block 1,,,,,,,
Exposure,Known,Rooster,1,1_Day3_Exposure_ROOSTER_Quiet_Final_60dB,1_Day3_Exposure_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Exposure,Known,Baby,2,2_Day3_Exposure_BABY_SSN_5SNR_Final,2_Day3_Exposure_BABY_2Talker_5SNR_Final,Baby,Baby.png
Exposure,Novel,Daevl,3,3_Day3_Exposure_DAEVL_SSN_5SNR_Final,3_Day3_Exposure_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Exposure,Novel,Topin,4,4_Day3_Exposure_TOPIN_SSN_5SNR_Final,4_Day3_Exposure_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Exposure,Novel,Kinit,5,5_Day3_Exposure_KINIT_SSN_5SNR_Final,5_Day3_Exposure_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Exposure,Novel,Nedig,6,6_Day3_Exposure_NEDIG_SSN_5SNR_Final,6_Day3_Exposure_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Block 2,,,,,,,
Repetition,Known,Rooster,7,7_Day3_Repetition_ROOSTER_Quiet_Final_60dB,7_Day3_Repetition_ROOSTER_Quiet_Final_60dB,Rooster,Rooster.png
Feedback,,,8,8_Day3_Feedback_ROOSTER_Quiet_Final_60dB,8_Day3_Feedback_ROOSTER_Quiet_Final_60dB,,
Repetition,Known,Baby,9,9_Day3_Repetition_BABY_SSN_5SNR_Final,9_Day3_Repetition_BABY_2Talker_5SNR_Final,Baby,Baby.png
Feedback,,,10,10_Day3_Feedback_BABY_SSN_5SNR_Final,10_Day3_Feedback_BABY_2Talker_5SNR_Final,,
Repetition,Novel,Daevl,11,11_Day3_Repetition_DAEVL_SSN_5SNR_Final,11_Day3_Repetition_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,,12,12_Day3_Feedback_DAEVL_SSN_5SNR_Final,12_Day3_Feedback_DAEVL_2Talker_5SNR_Final,,
Repetition,Novel,Topin,13,13_Day3_Repetition_TOPIN_SSN_5SNR_Final,13_Day3_Repetition_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,,14,14_Day3_Feedback_TOPIN_SSN_5SNR_Final,14_Day3_Feedback_TOPIN_2Talker_5SNR_Final,,
Repetition,Novel,Kinit,15,15_Day3_Repetition_KINIT_SSN_5SNR_Final,15_Day3_Repetition_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,,16,16_Day3_Feedback_KINIT_SSN_5SNR_Final,16_Day3_Feedback_KINIT_2Talker_5SNR_Final,,
Repetition,Novel,Nedig,17,17_Day3_Repetition_NEDIG_SSN_5SNR_Final,17_Day3_Repetition_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,,18,18_Day3_Feedback_NEDIG_SSN_5SNR_Final,18_Day3_Feedback_NEDIG_2Talker_5SNR_Final,,
Block 3,,,,,,,
Repetition,Novel,Daevl,19,19_Day3_Repetition_DAEVL_SSN_5SNR_Final,19_Day3_Repetition_DAEVL_2Talker_5SNR_Final,Daevl,Daevl.png
Feedback,,,20,20_Day3_Feedback_DAEVL_SSN_5SNR_Final,20_Day3_Feedback_DAEVL_2Talker_5SNR_Final,,
Repetition,Novel,Topin,21,21_Day3_Repetition_TOPIN_SSN_5SNR_Final,21_Day3_Repetition_TOPIN_2Talker_5SNR_Final,Topin,Topin.png
Feedback,,,22,22_Day3_Feedback_TOPIN_SSN_5SNR_Final,22_Day3_Feedback_TOPIN_2Talker_5SNR_Final,,
Repetition,Novel,Kinit,23,23_Day3_Repetition_KINIT_SSN_5SNR_Final,23_Day3_Repetition_KINIT_2Talker_5SNR_Final,Kinit,Kinit.png
Feedback,,,24,24_Day3_Feedback_KINIT_SSN_5SNR_Final,24_Day3_Feedback_KINIT_2Talker_5SNR_Final,,
Repetition,Novel,Nedig,25,25_Day3_Repetition_NEDIG_SSN_5SNR_Final,25_Day3_Repetition_NEDIG_2Talker_5SNR_Final,Nedig,Nedig.png
Feedback,,,26,26_Day3_Feedback_NEDIG_SSN_5SNR_Final,26_Day3_Feedback_NEDIG_2Talker_5SNR_Final,,
Block 4,,,,,,,
